PNODE_ID,AS_ID_1,AS_ID_2,AS_ID_extra_count,RES_TYPE,RES_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,Derived_Zone
0096WD_7_N001,AS_NP26,AS_SP15,0,GEN,7STDRD_1_SOLAR1,35009_0096_WD _21.6_GUWD,24M3_DB127,2024-03-20T00:00:00,1,ZP26
0096WD_7_N002,AS_NP26,AS_SP15,0,LOAD,7STDRD_7_LD1,35009_0096_WD _21.6_LD1,24M3_DB127,2024-03-20T00:00:00,2,ZP26
1501WDC2_7_ND001,AS_NP26,AS_SP15,0,GEN,CHVHIL_7_CHVSR1,36367_1501WDC2_34.5_GU1,24M3_DB127,2024-03-20T00:00:00,677,ZP26
2C559EQ2_7_N001,AS_NP26,AS_SP15,0,GEN,LAMONT_1_SOLAR1,35017_2C559EQ2_34.5_GUF,24M3_DB127,2024-03-20T00:00:00,2092,ZP26
2C577C1_7_N001,AS_NP15,AS_NP26,0,GEN,SLST13_2_SOLAR1,34323_2C577C1 _34.5_GU1,24M3_DB127,2024-03-20T00:00:00,4753,NP15
2PBLSM34_7_N001,AS_SP15,AS_SP26,0,GEN,PBLOSM_2_SOLAR,25662_2PBLSM34_34.5_GUS1,24M3_DB127,2024-03-20T00:00:00,3012,SP15
3EMIDIO_6_N001,AS_NP26,AS_SP15,0,LOAD,VPREDO_6_LD-EM3,34938_3EMIDIO _70.0_LDMO,24M3_DB127,2024-03-20T00:00:00,5394,ZP26
3EMIDIO_6_N002,AS_NP26,AS_SP15,0,LOAD,VPREDO_6_LD-EM2,34938_3EMIDIO _70.0_LDPP,24M3_DB127,2024-03-20T00:00:00,5393,ZP26
3EMIDIO_6_N003,AS_NP26,AS_SP15,0,LOAD,VPREDO_6_LD-EM1,34938_3EMIDIO _70.0_LDEQ,24M3_DB127,2024-03-20T00:00:00,5392,ZP26
4C687C2_7_N001,AS_NP15,AS_NP26,0,GEN,CUMBIA_1_SOLAR,39508_4C687C2 _13.8_GUF,24M3_DB127,2024-03-20T00:00:00,907,NP15
4C744C12_7_N001,AS_NP26,AS_SP15,0,GEN,LAMONT_1_SOLAR5,39568_4C744C12_34.5_GUF1,24M3_DB127,2024-03-20T00:00:00,2096,ZP26
4C744C12_7_N002,AS_NP26,AS_SP15,0,LOAD,LAMONT_7_LD-AUX5,39568_4C744C12_34.5_LDSS,24M3_DB127,2024-03-20T00:00:00,2098,ZP26
4C744C22_7_N001,AS_NP26,AS_SP15,0,GEN,LAMONT_1_SOLAR4,39571_4C744C22_34.5_GUF2,24M3_DB127,2024-03-20T00:00:00,2095,ZP26
4C744C32_7_N001,AS_NP26,AS_SP15,0,GEN,LAMONT_1_SOLAR3,39574_4C744C32_34.5_GUF3,24M3_DB127,2024-03-20T00:00:00,2094,ZP26
4C744C32_7_N002,AS_NP26,AS_SP15,0,LOAD,LAMONT_7_LD-AUX3,39574_4C744C32_34.5_LDSS,24M3_DB127,2024-03-20T00:00:00,2097,ZP26
4C744C42_7_N001,AS_NP26,AS_SP15,0,GEN,LAMONT_1_SOLAR2,39577_4C744C42_34.5_GUR4,24M3_DB127,2024-03-20T00:00:00,2093,ZP26
A100US_1_B1,AS_NP15,AS_NP26,0,LOAD,EASTSH_1_LD1,39246_A100US  _115_LD1,24M3_DB127,2024-03-20T00:00:00,1162,NP15
ACACIA_7_N001,AS_SP15,AS_SP26,0,GEN,ACACIA_6_SOLAR,29876_ACACIA  _34.5_GU1,24M3_DB127,2024-03-20T00:00:00,5,SP15
ACTONSC_6_N001,AS_SP15,AS_SP26,0,LOAD,ACTONS_6_LD1,24406_ACTON SC_66.0_LD1,24M3_DB127,2024-03-20T00:00:00,6,SP15
ADCC_2_N001,AS_NP15,AS_NP26,0,GEN,LFC 51_2_UNIT 1,30655_ADCC    _230_GU1,24M3_DB127,2024-03-20T00:00:00,2183,NP15
ADERAG1_7_N001,AS_NP15,AS_NP26,0,GEN,ADERA_1_SOLAR1,34117_ADERA G1_34.5_GU1,24M3_DB127,2024-03-20T00:00:00,7,NP15
AEC300_1_N001,AS_NP15,AS_NP26,0,LOAD,AEC 30_1_LD1,33547_AEC_300 _115_LD1,24M3_DB127,2024-03-20T00:00:00,11,NP15
AERA12_7_N001,AS_NP15,AS_NP26,0,LOAD,AERENG_7_LD1,36204_AERA_12 _12.0_LD1,24M3_DB127,2024-03-20T00:00:00,13,NP15
AERAVIC2_1_N003,AS_NP15,AS_NP26,0,LOAD,AERA_1_LD1,39071_AERAVIC2_115_LD1,24M3_DB127,2024-03-20T00:00:00,12,NP15
AGNEW_1_N003,AS_NP15,AS_NP26,0,LOAD,CALPIN_1_LD-RO1,35606_AGNEW   _115_LD1,24M3_DB127,2024-03-20T00:00:00,495,NP15
AGNEW_6_N001,AS_NP15,AS_NP26,0,LOAD,AGNEWS_6_LD-T1,36870_Agnew   _60.0_LD1,24M3_DB127,2024-03-20T00:00:00,14,NP15
AGNEW_6_N002,AS_NP15,AS_NP26,0,LOAD,AGNEWS_6_LD-T2,36870_Agnew   _60.0_LD2,24M3_DB127,2024-03-20T00:00:00,15,NP15
AGRICO_6_PL3N5-APND,AS_NP15,AS_NP26,0,GEN,AGRICO_6_PL3N5,,24M3_DB127,2024-03-20T00:00:00,17,NP15
AGRICO_7_B1,AS_NP15,AS_NP26,0,GEN,AGRICO_7_UNIT 2,34608_AGRICO  _13.8_GU2,24M3_DB127,2024-03-20T00:00:00,20,NP15
AGRICO_7_B3,AS_NP15,AS_NP26,0,GEN,AGRICO_7_UNIT 4,34608_AGRICO  _13.8_GU4,24M3_DB127,2024-03-20T00:00:00,21,NP15
AGRICO_7_B4,AS_NP15,AS_NP26,0,GEN,AGRICO_6_UNIT 3,34608_AGRICO  _13.8_GU3,24M3_DB127,2024-03-20T00:00:00,18,NP15
AGRICO_7_NBT1,AS_NP15,AS_NP26,0,GEN,AGRICO_6_FEGBT1,34608_13.8_GUF1,24M3_DB127,2024-03-20T00:00:00,16,NP15
AGRICO_7_UNIT-APND,AS_NP15,AS_NP26,0,GEN,AGRICO_7_UNIT,,24M3_DB127,2024-03-20T00:00:00,19,NP15
AGUAMNSA_7_B1,AS_SP15,AS_SP26,0,GEN,COLTON_6_AGUAM1,28008_AGUAMNSA_13.8_GU1,24M3_DB127,2024-03-20T00:00:00,769,SP15
AGUCALG1_7_B1,AS_SP15,AS_SP26,0,GEN,AGUCAL_5_SOLAR1,22305_AGUCALG1_34.5_GU1,24M3_DB127,2024-03-20T00:00:00,22,SP15
AIRPROD_1_N001,AS_NP15,AS_NP26,0,LOAD,AIRPRD_1_LD1,34377_AIRPROD _115_LD1,24M3_DB127,2024-03-20T00:00:00,23,NP15
AIRWAYS_1_N001,AS_NP15,AS_NP26,0,LOAD,AIRWYP_1_LD1,34361_AIRWAYS _115_LD1,24M3_DB127,2024-03-20T00:00:00,24,NP15
AIRWAYS_1_N004,AS_NP15,AS_NP26,0,LOAD,AIRWYP_1_LD2,34361_AIRWAYS _115_LD2,24M3_DB127,2024-03-20T00:00:00,25,NP15
AKINGS02_7_N001,AS_NP15,AS_NP26,0,GEN,AKINGS_6_AMESR1,34543_AKINGS02_34.5_GU1,24M3_DB127,2024-03-20T00:00:00,26,NP15
ALAMITOS_2_N001,AS_SP15,AS_SP26,0,LOAD,ALAMIT_2_LD-1A,24008_ALAMITOS_230_LD1A,24M3_DB127,2024-03-20T00:00:00,28,SP15
ALAMITOS_2_N040,AS_SP15,AS_SP26,0,LOAD,ALAMIT_2_LD-2A,24008_ALAMITOS_230_LD2A,24M3_DB127,2024-03-20T00:00:00,29,SP15
ALAMIT_7_NBT2,AS_SP15,AS_SP26,0,GEN,ALAMIT_2_AESBT2,24008_34.5_BT2,24M3_DB127,2024-03-20T00:00:00,27,SP15
ALAMOSC_7_N001,AS_SP15,AS_SP26,0,GEN,ALAMO_6_UNIT,25653_ALAMO SC_13.8_GU1,24M3_DB127,2024-03-20T00:00:00,43,SP15
ALAMT1G_7_B1,AS_SP15,AS_SP26,0,GEN,ALAMIT_7_UNIT 1,24001_ALAMT1 G_18.0_GU1,24M3_DB127,2024-03-20T00:00:00,37,SP15
ALAMT1G_7_N002,AS_SP15,AS_SP26,0,LOAD,ALAMIT_7_LD-CLAP1,24001_ALAMT1 G_18.0_LDM1,24M3_DB127,2024-03-20T00:00:00,31,SP15
ALAMT2G_7_B1,AS_SP15,AS_SP26,0,GEN,ALAMIT_7_UNIT 2,24002_ALAMT2 G_18.0_GU2,24M3_DB127,2024-03-20T00:00:00,38,SP15
ALAMT2G_7_N002,AS_SP15,AS_SP26,0,LOAD,ALAMIT_7_LD-CLAP2,24002_ALAMT2 G_18.0_LDM1,24M3_DB127,2024-03-20T00:00:00,32,SP15
ALAMT3G_7_B1,AS_SP15,AS_SP26,0,GEN,ALAMIT_7_UNIT 3,24003_ALAMT3 G_18.0_GU3,24M3_DB127,2024-03-20T00:00:00,39,SP15
ALAMT3G_7_N002,AS_SP15,AS_SP26,0,LOAD,ALAMIT_7_LD-CLAP3,24003_ALAMT3 G_18.0_LDM1,24M3_DB127,2024-03-20T00:00:00,33,SP15
ALAMT4G_7_B1,AS_SP15,AS_SP26,0,GEN,ALAMIT_7_UNIT 4,24004_ALAMT4 G_18.0_GU4,24M3_DB127,2024-03-20T00:00:00,40,SP15
ALAMT4G_7_N002,AS_SP15,AS_SP26,0,LOAD,ALAMIT_7_LD-CLAP4,24004_ALAMT4 G_18.0_LDM1,24M3_DB127,2024-03-20T00:00:00,34,SP15
ALAMT5G_7_B1,AS_SP15,AS_SP26,0,GEN,ALAMIT_7_UNIT 5,24005_ALAMT5 G_20.0_GU5,24M3_DB127,2024-03-20T00:00:00,41,SP15
ALAMT5G_7_N002,AS_SP15,AS_SP26,0,LOAD,ALAMIT_7_LD-CLAP5,24005_ALAMT5 G_20.0_LDM1,24M3_DB127,2024-03-20T00:00:00,35,SP15
ALAMT6G_7_B1,AS_SP15,AS_SP26,0,GEN,ALAMIT_7_UNIT 6,24161_ALAMT6 G_20.0_GU6,24M3_DB127,2024-03-20T00:00:00,42,SP15
ALAMT6G_7_N002,AS_SP15,AS_SP26,0,LOAD,ALAMIT_7_LD-CLAP6,24161_ALAMT6 G_20.0_LDM1,24M3_DB127,2024-03-20T00:00:00,36,SP15
ALASB1_7_NSB1,AS_SP15,AS_SP26,0,GEN,BARRE_2_ALASB1,24201_66_GU1,24M3_DB127,2024-03-20T00:00:00,211,SP15
ALASB2_7_NSB2,AS_SP15,AS_SP26,0,GEN,DELAMO_2_ALASB2,24029_230_GYB2,24M3_DB127,2024-03-20T00:00:00,957,SP15
ALESSAND_1_N003,AS_SP15,AS_SP26,0,LOAD,ALESND_1_XF4,_88412f0a-be61-49b5-b9f2-77f77558367a,24M3_DB127,2024-03-20T00:00:00,46,SP15
ALESSAND_1_N005,AS_SP15,AS_SP26,0,LOAD,ALESND_1_XF1,ade8f4ac-2b91-435f-aebb-d3e5174afc81,24M3_DB127,2024-03-20T00:00:00,44,SP15
ALESSAND_1_N007,AS_SP15,AS_SP26,0,LOAD,ALESND_1_XF5,_61983785-487d-4674-b719-39acd787bb88,24M3_DB127,2024-03-20T00:00:00,47,SP15
ALESSAND_1_N009,AS_SP15,AS_SP26,0,LOAD,ALESND_1_XF2,_4ea93028-b0ef-4759-9ebf-97e3c2d98ff0,24M3_DB127,2024-03-20T00:00:00,45,SP15
ALHAMBRA_1_N001,AS_NP15,AS_NP26,0,LOAD,ALHAMB_1_LD2,33011_ALHAMBRA_115_LD2,24M3_DB127,2024-03-20T00:00:00,49,NP15
ALHAMBRA_1_N002,AS_NP15,AS_NP26,0,LOAD,ALHAMB_1_LD1,33011_ALHAMBRA_115_LD1,24M3_DB127,2024-03-20T00:00:00,48,NP15
ALLEGHNY_6_N001,AS_NP15,AS_NP26,0,LOAD,ALLGNY_6_LD1,32362_ALLEGHNY_60.0_LD1,24M3_DB127,2024-03-20T00:00:00,52,NP15
ALLEGHNY_6_N002,AS_NP15,AS_NP26,0,GEN,ALLGNY_6_HYDRO1,32362_ALLEGHNY_60.0_GUM1,24M3_DB127,2024-03-20T00:00:00,51,NP15
ALMADEN_6_N001,AS_NP15,AS_NP26,0,LOAD,ALMADN_6_LD1,35757_ALMADEN _60.0_LD1,24M3_DB127,2024-03-20T00:00:00,53,NP15
ALMADEN_6_N009,AS_NP15,AS_NP26,0,LOAD,ALMADN_6_LD2,35757_ALMADEN _60.0_LD3,24M3_DB127,2024-03-20T00:00:00,54,NP15
ALMASL3_7_N001,AS_SP15,AS_SP26,0,GEN,ALMASL_2_GS1SR1,28996_ALMASL_34.5_GUS1,24M3_DB127,2024-03-20T00:00:00,56,SP15
ALMASL3_7_N002,AS_SP15,AS_SP26,0,GEN,ALMASL_2_GS4SR4,28997_ALMASL_34.5_GUS2,24M3_DB127,2024-03-20T00:00:00,57,SP15
ALMASL_7_GUB6N,AS_SP15,AS_SP26,0,GEN,ALMASL_2_AL6BT6,29000_34.5_GUB6,24M3_DB127,2024-03-20T00:00:00,55,SP15
ALMASL_7_GUS6N,AS_SP15,AS_SP26,0,GEN,ALMASL_2_GS6SR6,29000_34.5_GUS6,24M3_DB127,2024-03-20T00:00:00,58,SP15
ALMASL_7_GUS7N,AS_SP15,AS_SP26,0,GEN,ALMASL_2_GS7SR7,29000_34.5_GUS7,24M3_DB127,2024-03-20T00:00:00,59,SP15
ALMDACT1_7_B1,AS_NP15,AS_NP26,0,GEN,ALMEGT_1_UNIT 1,38118_ALMDACT1_13.8_GU1,24M3_DB127,2024-03-20T00:00:00,60,NP15
ALMDACT2_7_B1,AS_NP15,AS_NP26,0,GEN,ALMEGT_1_UNIT 2,38119_ALMDACT2_13.8_GU2,24M3_DB127,2024-03-20T00:00:00,61,NP15
ALMERGB2_7_N001,AS_SP15,AS_SP26,0,GEN,ALAMIT_7_ES1,GN-ES1_GU,24M3_DB127,2024-03-20T00:00:00,30,SP15
ALPAUGH_1_N004,AS_NP26,AS_SP15,0,LOAD,ALPAUG_1_LD2,34426_ALPAUGH _115_LD2,24M3_DB127,2024-03-20T00:00:00,63,ZP26
ALPAUGH_7_N001,AS_NP26,AS_SP15,0,GEN,ALPAUG_1_TUDSR1,34426_12_GNS1,24M3_DB127,2024-03-20T00:00:00,64,ZP26
ALPAUGH_7_N002,AS_NP26,AS_SP15,0,LOAD,ALPAUG_1_LD1,34426_ALPAUGH  _115_LD1,24M3_DB127,2024-03-20T00:00:00,62,ZP26
ALPINE_6_N001,AS_SP15,AS_SP26,0,LOAD,ALPINE_6_LD32,22004_ALPINE  _69.0_LD32,24M3_DB127,2024-03-20T00:00:00,66,SP15
ALPINE_6_N005,AS_SP15,AS_SP26,0,LOAD,ALPINE_6_LD30,22004_ALPINE  _69.0_LD30,24M3_DB127,2024-03-20T00:00:00,65,SP15
ALTA-CGE_6_N001,AS_NP15,AS_NP26,0,GEN,KALINA_2_UNIT 1,33773_ALTA-CGE_60.0_GU1,24M3_DB127,2024-03-20T00:00:00,1950,NP15
ALTA1G_7_B1,AS_SP15,AS_SP26,0,GEN,CWATER_7_UNIT 1,24714_ALTA  1G_13.8_GU1,24M3_DB127,2024-03-20T00:00:00,931,SP15
ALTA2G_7_B1,AS_SP15,AS_SP26,0,GEN,CWATER_7_UNIT 2,24715_ALTA  2G_13.8_GU2,24M3_DB127,2024-03-20T00:00:00,932,SP15
ALTA30ST_7_B1,AS_SP15,AS_SP26,0,GEN,CWATER_7_ST30,24719_ALTA30ST_13.8_GU30,24M3_DB127,2024-03-20T00:00:00,929,SP15
ALTA31GT_7_B1,AS_SP15,AS_SP26,0,GEN,CWATER_7_CT31,24718_ALTA31GT_13.8_GU31,24M3_DB127,2024-03-20T00:00:00,925,SP15
ALTA32GT_7_B1,AS_SP15,AS_SP26,0,GEN,CWATER_7_CT32,24734_ALTA32GT_13.8_GU32,24M3_DB127,2024-03-20T00:00:00,926,SP15
ALTA40ST_7_B1,AS_SP15,AS_SP26,0,GEN,CWATER_7_ST40,24721_ALTA40ST_13.8_GU40,24M3_DB127,2024-03-20T00:00:00,930,SP15
ALTA41GT_7_B1,AS_SP15,AS_SP26,0,GEN,CWATER_7_CT41,24720_ALTA41GT_13.8_GU41,24M3_DB127,2024-03-20T00:00:00,927,SP15
ALTA42GT_7_B1,AS_SP15,AS_SP26,0,GEN,CWATER_7_CT42,24735_ALTA42GT_13.8_GU42,24M3_DB127,2024-03-20T00:00:00,928,SP15
ALTA6B2_7_N003,AS_SP15,AS_SP26,0,GEN,ALTA6B_2_WIND11,29581_ALTA6B2 _34.5_GU11,24M3_DB127,2024-03-20T00:00:00,78,SP15
ALTA6E2_7_N002,AS_SP15,AS_SP26,0,GEN,ALTA6E_2_WIND10,29583_ALTA6E2 _34.5_GU10,24M3_DB127,2024-03-20T00:00:00,79,SP15
ALTAD1_7_N006,AS_SP15,AS_SP26,0,GEN,ALT6DN_2_WIND7,29590_ALTAD1  _34.5_GU1,24M3_DB127,2024-03-20T00:00:00,69,SP15
ALTAD2_7_N006,AS_SP15,AS_SP26,0,GEN,ALT6DS_2_WIND9,29579_ALTAD2  _34.5_GU1,24M3_DB127,2024-03-20T00:00:00,70,SP15
ALTAPES_7_N001,AS_SP15,AS_SP26,0,GEN,CHINO_2_APEBT1,99004_ALTA PES_12.5_GUAP,24M3_DB127,2024-03-20T00:00:00,656,SP15
ALTMMDW_2_N001,AS_NP15,AS_NP26,0,GEN,ALTMID_2_UNIT 1,30580_ALTM MDW_230_GU1,24M3_DB127,2024-03-20T00:00:00,80,NP15
ALTMMDW_2_N007,AS_NP15,AS_NP26,0,GEN,ALTMID_2_WINDA,30580_ALTM MDW_230_GUS1,24M3_DB127,2024-03-20T00:00:00,81,NP15
ALTO_6_N001,AS_NP15,AS_NP26,0,LOAD,ALTO_6_LD3,32682_ALTO    _60.0_LD3,24M3_DB127,2024-03-20T00:00:00,83,NP15
ALTO_6_N101,AS_NP15,AS_NP26,0,LOAD,ALTO_6_LD1,32682_ALTO    _60.0_LD1,24M3_DB127,2024-03-20T00:00:00,82,NP15
ALTWD1_7_N003,AS_SP15,AS_SP26,0,GEN,ALTWD_2_AT3WD3,GN-AT3WD3_GU,24M3_DB127,2024-03-20T00:00:00,84,SP15
ALTWD1_7_N004,AS_SP15,AS_SP26,0,GEN,ALTWD_2_COAWD1,GN-COAWD1_GU,24M3_DB127,2024-03-20T00:00:00,85,SP15
AMARGOSA_1_SN001,AS_SP15_EXP,AS_SP26_EXP,0,TIE,AMARGOSA230,18030_AMARGOSA_138_GUM1,24M3_DB127,2024-03-20T00:00:00,86,Unclassified
AMERIGAS_1_GN001,AS_NP15,AS_NP26,0,GEN,AMRGAS_1_PDRC01,31954_AMERIGAS_115_GUM1,24M3_DB127,2024-03-20T00:00:00,91,NP15
AMERIGAS_1_N001,AS_NP15,AS_NP26,0,LOAD,AMRGAS_1_LD1,31954_AMERIGAS_115_LD1,24M3_DB127,2024-03-20T00:00:00,90,NP15
AMESBS_1_N004,AS_NP15,AS_NP26,0,LOAD,AMES_1_LD-NSA2,35350_AMES BS _115_LD2,24M3_DB127,2024-03-20T00:00:00,88,NP15
AMESBS_1_N101,AS_NP15,AS_NP26,0,LOAD,AMES_1_LD-NSA1,35350_AMES BS _115_LD1,24M3_DB127,2024-03-20T00:00:00,87,NP15
AMESDST_1_N001,AS_NP15,AS_NP26,0,LOAD,AMES_1_LD1,35349_AMES DST_115_LD1,24M3_DB127,2024-03-20T00:00:00,89,NP15
AMFORST_6_N001,AS_NP15,AS_NP26,0,LOAD,MARTEL_6_LD-AM,33620_AM_FORST_60.0_LD1,24M3_DB127,2024-03-20T00:00:00,2366,NP15
AMWWD1_1_NWD1,AS_SP15,AS_SP26,0,GEN,SEAWND_2_AMWWD1,98501_115_GU1,24M3_DB127,2024-03-20T00:00:00,4654,SP15
ANAHEIMG_7_B1,AS_SP15,AS_SP26,0,GEN,ANAHM_7_CT,25203_ANAHEIMG_13.8_GU1,24M3_DB127,2024-03-20T00:00:00,97,SP15
ANAHEIM_6_N001,AS_SP15,AS_SP26,0,LOAD,ANAHM_6_LD1,25204_ANAHEIM _69.0_LD1,24M3_DB127,2024-03-20T00:00:00,96,SP15
ANAVERDE_6_N001,AS_SP15,AS_SP26,0,LOAD,ANVERD_6_LD1,24407_ANAVERDE_66.0_LD1,24M3_DB127,2024-03-20T00:00:00,109,SP15
ANDERSON_6_N001,AS_NP15,AS_NP26,0,LOAD,ANDRSN_6_LD1,31574_ANDERSON_60.0_LD1,24M3_DB127,2024-03-20T00:00:00,104,NP15
ANGIOLA_6_N001,AS_NP15,AS_NP26,0,LOAD,ANGOLA_6_LD1,34536_ANGIOLA _70.0_LD1,24M3_DB127,2024-03-20T00:00:00,105,NP15
ANITA_6_N001,AS_NP15,AS_NP26,0,LOAD,ANITA_6_LD1,31738_ANITA   _60.0_LD1,24M3_DB127,2024-03-20T00:00:00,106,NP15
ANITA_6_N006,AS_NP15,AS_NP26,0,LOAD,ANITA_6_LD2,31738_ANITA   _60.0_LD2,24M3_DB127,2024-03-20T00:00:00,107,NP15
ANNAPOLS_6_N001,AS_NP15,AS_NP26,0,LOAD,ANAPLS_6_LD1,31348_ANNAPOLS_60.0_LD1,24M3_DB127,2024-03-20T00:00:00,102,NP15
ANTELOPE_6_N001,AS_NP26,AS_SP15,0,LOAD,BRRNDA_6_LD1,34966_ANTELOPE_70.0_LDAN,24M3_DB127,2024-03-20T00:00:00,423,ZP26
ANTLER_6_N001,AS_NP15,AS_NP26,0,LOAD,ANTLER_6_LD1,31585_ANTLER  _60.0_LD1,24M3_DB127,2024-03-20T00:00:00,108,NP15
APLHILGN_7_N002,AS_NP15,AS_NP26,0,GEN,APLHIL_1_SFKHY1,32253_APLHILGN_12.0_GU1,24M3_DB127,2024-03-20T00:00:00,115,NP15
APPLEHL_1_N001,AS_NP15,AS_NP26,0,LOAD,APLHIL_1_LD1,32252_APPLE HL_115_LD1,24M3_DB127,2024-03-20T00:00:00,113,NP15
APPLEHL_1_N002,AS_NP15,AS_NP26,0,LOAD,APLHIL_1_LD2,32253_APLHILGN_12.0_LD2,24M3_DB127,2024-03-20T00:00:00,114,NP15
APPLEHL_1_N004,AS_NP15,AS_NP26,0,GEN,APLHIL_1_SLABCK,32252_APPLE HL_115_GUM1,24M3_DB127,2024-03-20T00:00:00,116,NP15
APPMAT_1_N001,AS_NP15,AS_NP26,0,LOAD,APPMAT_1_LD1,35369_APP MAT _115_LD1,24M3_DB127,2024-03-20T00:00:00,117,NP15
APPMAT_1_N010,AS_NP15,AS_NP26,0,LOAD,APPMAT_1_LD2,35369_APP MAT _115_LD2,24M3_DB127,2024-03-20T00:00:00,118,NP15
APTORVC_6_N002,AS_NP15,AS_NP26,0,GEN,PACORO_6_UNIT,31654_APT ORVC_60.0_GU1,24M3_DB127,2024-03-20T00:00:00,2963,NP15
AQUAWS_2_AQWSR1-APND,AS_NP26,AS_SP15,0,GEN,AQUAWS_2_AQWSR1,,24M3_DB127,2024-03-20T00:00:00,119,ZP26
AQUAWS_7_CN1,AS_NP26,AS_SP15,0,GEN,AQUAWS_2_AQWSU2,GN-AQWSR2_GU,24M3_DB127,2024-03-20T00:00:00,121,ZP26
AQUAWS_7_N002,AS_NP26,AS_SP15,0,GEN,AQUAWS_2_AQWSU1,GN-AQWSR1_GU,24M3_DB127,2024-03-20T00:00:00,120,ZP26
ARBUCKLE_6_LN001,AS_NP15,AS_NP26,0,LOAD,ARBKLE_6_LD2,32060_ARBUCKLE_60.0_LD2,24M3_DB127,2024-03-20T00:00:00,123,NP15
ARBUCKLE_6_N001,AS_NP15,AS_NP26,0,LOAD,ARBKLE_6_LD1,32060_ARBUCKLE_60.0_LD1,24M3_DB127,2024-03-20T00:00:00,122,NP15
ARBURUA_6_N001,AS_NP15,AS_NP26,0,LOAD,ARBUR_6_LD1,34224_ARBURUA _70.0_LD1,24M3_DB127,2024-03-20T00:00:00,124,NP15
ARBWIND_6_N001,AS_SP15,AS_SP26,0,GEN,ARBWD_6_QF,24457_ARBWIND _66.0_GUQF,24M3_DB127,2024-03-20T00:00:00,125,SP15
ARCATA_6_LN001,AS_NP15,AS_NP26,0,LOAD,ARCATA_6_LD2,31072_ARCATA  _60.0_LD2,24M3_DB127,2024-03-20T00:00:00,127,NP15
ARCATA_6_N001,AS_NP15,AS_NP26,0,LOAD,ARCATA_6_LD1,31072_ARCATA  _60.0_LD1,24M3_DB127,2024-03-20T00:00:00,126,NP15
ARCO1G_7_B1,AS_SP15,AS_SP26,0,GEN,ARCOGN_2_UNITS,24011_ARCO  1G_13.8_GU1,24M3_DB127,2024-03-20T00:00:00,128,SP15
ARLNG1MV_7_N002,AS_SP15,AS_SP26,0,GEN,ARLNTN_2_ASUSR1,GN-ASUSR1_GU,24M3_DB127,2024-03-20T00:00:00,131,SP15
ARLNG2MV_7_N001,AS_SP15,AS_SP26,0,GEN,ARLNTN_2_AR1SR1,GN-AR1SR1_GU,24M3_DB127,2024-03-20T00:00:00,130,SP15
ARMSTRNG_6_N001,AS_NP15,AS_NP26,0,LOAD,GWFPWR_6_LD1,34532_ARMSTRNG_70.0_LD1,24M3_DB127,2024-03-20T00:00:00,1655,NP15
AROWHEAD_1_N001,AS_SP15,AS_SP26,0,LOAD,AROWHD_1_LD3,95634_AROWHEAD_115_LD1,24M3_DB127,2024-03-20T00:00:00,133,SP15
AROWHEAD_1_N005,AS_SP15,AS_SP26,0,LOAD,AROWHD_1_LD4,95634_AROWHEAD_115_LD2,24M3_DB127,2024-03-20T00:00:00,134,SP15
ARTRAN_6_ND001,AS_SP15,AS_SP26,0,LOAD,ARTRAN_6_LD31,ARTSN_RNCH_6_LD31,24M3_DB127,2024-03-20T00:00:00,135,SP15
ARTRAN_6_ND002,AS_SP15,AS_SP26,0,LOAD,ARTRAN_6_LD32,ARTSN_RNCH_6_LD32,24M3_DB127,2024-03-20T00:00:00,136,SP15
ARVINED_1_N001,AS_NP26,AS_SP15,0,LOAD,ARVIN_1_LD1,34806_ARVIN_ED_115_LD1,24M3_DB127,2024-03-20T00:00:00,140,ZP26
ARVIN_6_N001,AS_NP26,AS_SP15,0,LOAD,ARVINN_6_LD1,34888_ARVIN   _70.0_LD1,24M3_DB127,2024-03-20T00:00:00,137,ZP26
ASHLAN_2_N001,AS_NP15,AS_NP26,0,LOAD,ASHLAN_2_LD3,30850_ASHLAN  _230_LD3,24M3_DB127,2024-03-20T00:00:00,143,NP15
ASHLAN_2_N007,AS_NP15,AS_NP26,0,LOAD,ASHLAN_2_LD1,30850_ASHLAN  _230_LD1,24M3_DB127,2024-03-20T00:00:00,141,NP15
ASHLAN_2_N008,AS_NP15,AS_NP26,0,LOAD,ASHLAN_2_LD2,30850_ASHLAN  _230_LD2,24M3_DB127,2024-03-20T00:00:00,142,NP15
ASH_6_N001,AS_SP15,AS_SP26,0,LOAD,ASH_6_LD32,22008_ASH     _69.0_LD32,24M3_DB127,2024-03-20T00:00:00,146,SP15
ASH_6_N005,AS_SP15,AS_SP26,0,LOAD,ASH_6_LD30,22008_ASH     _69.0_LD30,24M3_DB127,2024-03-20T00:00:00,144,SP15
ASH_6_N101,AS_SP15,AS_SP26,0,LOAD,ASH_6_LD31,22008_ASH     _69.0_LD31,24M3_DB127,2024-03-20T00:00:00,145,SP15
ASTORIA1_7_N001,AS_SP15,AS_SP26,0,GEN,ASTORA_2_SOLAR1,29415_ASTORIA1_34.5_GU1,24M3_DB127,2024-03-20T00:00:00,147,SP15
ASTORIA2_7_N001,AS_SP15,AS_SP26,0,GEN,ASTORA_2_SOLAR2,29416_ASTORIA2_34.5_GU2,24M3_DB127,2024-03-20T00:00:00,148,SP15
