AS_REGION_ID,PNODE_ID,DESCRIPTION,COMMENTS,EFF_START_DT_GMT,EFF_END_DT_GMT,EFF_START_DT,EFF_END_DT
AS_NP15_EXP,2C577C1_7_N001,AS_NP15_EXP,,2014-11-13T08:00:00-00:00,2031-01-01T07:59:59-00:00,2014-11-13T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,4C687C2_7_N001,AS_NP15_EXP,,2014-08-28T07:00:00-00:00,2031-01-01T07:59:59-00:00,2014-08-28T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,4C687_1_B1,AS_NP15_EXP,,2017-08-17T07:00:00-00:00,2031-01-01T07:59:59-00:00,2017-08-17T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,A100US_1_B1,AS_NP15_EXP,,2013-02-28T08:00:00-00:00,2031-01-01T07:59:59-00:00,2013-02-28T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,ADCC_2_N001,AS_NP15_EXP,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,ADERAG1_7_N001,AS_NP15_EXP,,2015-10-22T07:00:00-00:00,2031-01-01T07:59:59-00:00,2015-10-22T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,ADRATAP_1_B1,AS_NP15_EXP,,2017-08-17T07:00:00-00:00,2031-01-01T07:59:59-00:00,2017-08-17T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,AEC300_1_N001,AS_NP15_EXP,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,AERA12_7_N001,AS_NP15_EXP,,2016-02-11T08:00:00-00:00,2031-01-01T07:59:59-00:00,2016-02-11T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,AERAVIC2_1_N003,AS_NP15_EXP,,2020-01-17T08:00:00-00:00,2031-01-01T07:59:59-00:00,2020-01-17T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,AGNEW_1_N003,AS_NP15_EXP,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,AGNEW_6_N001,AS_NP15_EXP,,2017-02-16T08:00:00-00:00,2031-01-01T07:59:59-00:00,2017-02-16T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,AGNEW_6_N002,AS_NP15_EXP,,2017-02-16T08:00:00-00:00,2031-01-01T07:59:59-00:00,2017-02-16T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,AGRCJCT_6_B1,AS_NP15_EXP,,2017-08-17T07:00:00-00:00,2031-01-01T07:59:59-00:00,2017-08-17T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,AGRICO_6_PL3N5-APND,AS_NP15_EXP,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,AGRICO_7_B1,AS_NP15_EXP,,2023-05-05T07:00:00-00:00,2031-01-01T07:59:59-00:00,2023-05-05T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,AGRICO_7_B3,AS_NP15_EXP,,2023-05-05T07:00:00-00:00,2031-01-01T07:59:59-00:00,2023-05-05T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,AGRICO_7_B4,AS_NP15_EXP,,2023-05-05T07:00:00-00:00,2031-01-01T07:59:59-00:00,2023-05-05T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,AGRICO_7_NBT1,AS_NP15_EXP,,2022-07-28T07:00:00-00:00,2031-01-01T07:59:59-00:00,2022-07-28T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,AGRICO_7_UNIT-APND,AS_NP15_EXP,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,AIRPROD_1_N001,AS_NP15_EXP,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,AIRWAYS_1_N001,AS_NP15_EXP,,2009-09-10T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-09-10T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,AIRWAYS_1_N004,AS_NP15_EXP,,2009-09-10T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-09-10T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,AKINGS02_7_N001,AS_NP15_EXP,,2025-05-13T07:00:00-00:00,2031-01-01T07:59:59-00:00,2025-05-13T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,ALHAMBRA_1_N001,AS_NP15_EXP,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,ALHAMBRA_1_N002,AS_NP15_EXP,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,ALLEGHNY_6_N001,AS_NP15_EXP,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,ALLEGHNY_6_N002,AS_NP15_EXP,,2025-05-13T07:00:00-00:00,2031-01-01T07:59:59-00:00,2025-05-13T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,ALMADEN_6_N001,AS_NP15_EXP,,2009-06-25T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-06-25T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,ALMADEN_6_N009,AS_NP15_EXP,,2009-06-25T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-06-25T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,ALMDACT1_7_B1,AS_NP15_EXP,,2025-05-13T07:00:00-00:00,2031-01-01T07:59:59-00:00,2025-05-13T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,ALMDACT2_7_B1,AS_NP15_EXP,,2025-05-13T07:00:00-00:00,2031-01-01T07:59:59-00:00,2025-05-13T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,ALTO_6_N001,AS_NP15_EXP,,2014-11-13T08:00:00-00:00,2031-01-01T07:59:59-00:00,2014-11-13T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,ALTO_6_N101,AS_NP15_EXP,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,AMERIGAS_1_GN001,AS_NP15_EXP,,2009-12-17T08:00:00-00:00,2031-01-01T07:59:59-00:00,2009-12-17T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,AMERIGAS_1_N001,AS_NP15_EXP,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP15_EXP,AMESBS_1_N004,AS_NP15_EXP,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
